info,author,headline,article_text
"
				13 May 2015
				15:53 CEST+02:00			 
					15:53 CEST+02:00				",AFP/The Local,Sweden in spotlight for biggest asylum share,"
Sweden's decision to take in more asylum seekers per capita than any other EU nation remained in focus on Wednesday as the European Commission formally presented its plan for member states to share responsibility for refugees fleeing the Middle East and Africa. 

	Asylum figures by the EU's statistics watchdog Eurostat this week confirmed that Sweden is continuing to take in a bigger share of asylum seekers than any other member state, when compared to existing population size.

	 

	Around 9.6 million people live in the Nordic nation and asylum was granted to more than 33,000 refugees last year.

	 

	This means that for every one million people in Sweden, the Nordic nation took in 3,424 asylum seekers in 2014.

	 

	By contrast, Germany took in 589 per one million, while for the UK the figure was just 218.

	 

	Sweden's rate of acceptance was also the highest in the EU.

	 

	77 percent of applicants were granted protection in their first attempt and 18 percent of appeals received positive decisions in 2014.

	 

	In Germany, 42 percent of applicants got asylum on their first attempt and 16 percent of appeals were successful.

	 

	The figures emerged as the European Commission - the part of the EU that thinks up EU policies to be voted on by national leaders and MEPs - revealed its full proposals for addressing the influx of migrants seeking to reach the continent.

	 

	The key points from the plan had previously been leaked, as The Local reported on Tuesday.



			INFOGRAPHIC Asylum applications in Europe 2014. Germany: 202,815; Sweden 81,325; Italy 64,625; France 64,310 @AFP pic.twitter.com/8oao4Ij25H
		— AFPgraphics (@AFPgraphics) May 12, 2015
 
READ ALSO: Sweden backs refugee sharing plan

		 

		In its report, the Commission said it planned to beef up European border controls and introduce quotas for the number of migrants each country should take in, seen as a way of more fairly sharing responsibility for refugees.

		 

		""The plight of thousands of migrants putting their lives in peril to cross the Mediterranean has shocked.

		 

		""It is clear that no EU country can or should be left alone to address huge migratory pressures,"" the Commission wrote in its report. 

		 

		Sweden's Justice and Migration Minister Morgan Johansson is a strong supporter of the proposed quota system.

		 

		“Our Common European Asylum System is not very common in a situation where a handful of Member States are taking the responsibility for over 90 percent of the asylum seekers,” he told The Local on Monday after the Commisson's plans were leaked.

		 

		“For the Common European Asylum System to be sustainable in the long run, a more even distribution of asylum seekers within the EU is needed,” he added.

		 

		The Commission's report comes amid ongoing concern about growing numbers of refugees, especially from war-torn countries like Syria risking their lives to get to the Europe. Over the past few weeks, hundreds have died attempting to cross the Mediterranean Sea by boat.

		 


			EU Member States granted protection to more than 185 000 asylum seekers in 2014 http://t.co/HnmDd4nuL9 #migrationEU pic.twitter.com/6nfvY8h3NM
		— European Commission (@EU_Commission) May 12, 2015
 
		 

FOLLOW ALSO: The Local Italy 

		 

		Other proposals within the Commission's plan include better targeting of people smugglers, whose unsafe and over-crowded boats have been blamed for recent tragedies, and expanding resources for search and rescue operations.

		 

		It also calls for better methods for identifying migrants, improving ways for qualified immigrant workers to get jobs, and monitoring those whose applications are rejected to ensure they make it home.

		 


			The Commission has also said it is looking into finding ways to solve the problems that cause people to flee their home nations in the first place and building ""stronger partnerships with key countries outside the EU"".


"
"
				21 February 2015
				09:57 CET+01:00			 
					09:57 CET+01:00				", The Local,Swedish migrant aides ‘were Isis recruiters’,"
Sweden’s national job agency has sacked its whole network of immigrant resettlement assistants after suspicion that some of them may have tried to recruit newly arrived immigrants to jihadist-style militant groups, such as Isis. 
  “We have received indication that there have been instances of recruitment attempts or contact-making situations related to various militant fighting groups,” the head of the agency, Mikael Sjöberg, said of the decision to immediately fire all of its resettlement assistants.   The Swedish intelligence service, Säpo, is now investigating the case, he said.   Although the agency would not name the suspected groups the agents recruited for, a source told Swedish tabloid Expressen that militant Islamist group Isis is thought to be among them.   The role of the agency’s resettlement assistants was to help newly arrived migrants find work by assisting them with, for example, the language or helping them with paperwork.
  Some of the assistants are also suspected of having been involved in fraudulent activities and pressing people for bribes in order to help them.   “It’s to do with loans or gifts, like tablets, mobile phones and sometimes cash, in order to get connected to a specific assistant,” he was quoted as saying to Expressen.   Last month, the national intelligence service confirmed that at least 100 Swedes have fought alongside Islamist extremists in Iraq and Syria.
"
"
				27 February 2013
				14:20 CET+01:00			 
					14:20 CET+01:00				",None,'Migration forces policy makers to shape up',"
The movement of people across borders is a powerful engine for growth, putting pressure on policy makers worldwide to compete to attract talent, argue government ministers Gunilla Karlsson and Tobias Billstrom. 

Day after day, media reports and our minds are filled with the plight of people fleeing - be it from war, conflict, hunger or threat.
But there is another side to people's mobility. Of the world's approximately 900 million migrants, it is estimated that more than 90 percent move in search of better jobs and other opportunities. 
The movement of people across borders and labour markets is a powerful engine for growth and development. As ministers responsible for migration and development cooperation, we want to promote this form of mobility.
Two months ago, Sweden assumed the chairmanship of the Global Forum on Migration and Development (GFMD), a leading arena for discussion of global migration issues. 
At the same time, work is also under way on the post 2015 development agenda that will carry forward the work begun with the current Millennium Development Goals. The work includes an important discussion on how migration can be used to increase freedom and eradicate poverty. 
Today, we are jointly hosting a seminar on the impact of migration on global development, at which some of the world's foremost experts in the area will be discussing this issue.
A very concrete example of how migration drives development is the billions of dollars in remittances that migrants from low-income countries send home to their families around the world. Every year, millions of people move to work in countries where wages are higher than in their home countries, sending money home to their relatives. 
The World Bank estimates that these financial flows amounted to $400 billion last year, and they are expected to rise by about 7 percent per year in the years ahead. They represent the second-largest source of financial flows to low- and middle-income countries.
These remittances are three times the size of international development assistance and in some countries they account for a large share of the total GDP. This money gives many families in the migrants' home countries the chance to go to better schools, get enough to eat and enjoy a better life.
How can we ensure that financial flows such as these function as smoothly as possible and benefit people living in poverty in the best possible way? We hope to be able to achieve better solutions through the Global Forum on Migration and Development.
Migration is a means to achieve not only economic development but also improved social development. We have both met colleagues from other countries who have expressed their concern about seeing more and more young and educated people moving to other countries in search of a better life. 
Around the world, people are moving from societies where the environment prevents them from reaching their full potentials, to countries where better policies have led to better conditions. 
Migration puts pressure on policy makers worldwide, who are forced to compete to entice talented people to remain within the country's borders.
When people migrate, new ideas and thoughts can move across borders, compete with each other and find new platforms. Entrepreneurs from different countries can meet and learn from each other.
There are many examples of people who did not find the right environment for innovation in their countries of birth, but who could accomplish great things when they were able to test their ideas in new countries.
Around the world, many countries are choosing to close their borders more tightly, both to keep citizens in and to keep others out. But countries can cooperate and solve the challenges that may arise as a result of migration and lack of development. 
Forums like the GFMD, which Sweden is now chairing, play a key role in this kind of cooperation. It is essential, both for our sake and for the rest of the world.
Gunilla Carlsson, Minister for International Development Cooperation
Tobias Billström, Minister for Migration and Asylum Policy"
"
				5 January 2016
				15:17 CET+01:00			 
					15:17 CET+01:00				",AFP/The Local,Sweden sees sharp drop in new refugee arrivals,"
The number of asylum seekers arriving in southern Sweden from Denmark dropped sharply on the first day that Sweden imposed systematic ID checks on travellers, police said on Tuesday. 

	Police in the southern Swedish region of Skåne said they had registered just 48 migrants arriving in Sweden on Monday. Excluding New Year's Day, there had been at least 200 per day since December 29th.

	 

	""One can say that it's a sharp drop. But it's only been one day (since the controls were introduced), and we can't exclude that refugees will find other ways of entering Sweden,"" police spokeswoman Ewa-Gun Westford said.

	 

	Sweden – which has taken in more asylum seekers per capita than any other EU nation – recently said it could no longer cope with the unregulated flow of arrivals.

	 

	In a bid to stem the influx, it has since Monday required all travellers to show photo identification when entering from Denmark, the main entry point for refugees hoping to start a new life in Sweden.

	 

	The Swedish coast guard said it was prepared for the possibility that migrants may now try to clandestinely cross the Öresund strait that divides Denmark and Sweden.

	 

	""We have to be prepared for the fact that people may seek other routes than the (Öresund) bridge or ferries, regardless of whether it is a Danish network behind this or individual initiatives,"" coast guard spokesman Mattias Lindholm told news agency TT.

	 

	Sweden has yet to officially register any migrants arriving on clandestine boats across the Baltic.

	 

	An inflatable dinghy discovered in early December on the shores of the southern town of Skillinge raised suspicions of such a crossing, but border police said it was ""very unlikely"" the boat had been used to such ends.

	 

	Sweden, a country of 9.8 million inhabitants, received 163,000 asylum applications last year.

	 

	More than one million migrants reached Europe in 2015, most of whom were refugees fleeing war and violence in Syria, Afghanistan and Iraq, according to the United Nations refugee agency.
"
"
				31 May 2015
				16:14 CEST+02:00			 
					16:14 CEST+02:00				", The Local,Swedish ship arrives to help with migrant crisis,"
The Swedish coast guard ship Poseidon has arrived in the Mediterranean and on Monday begins taking part in operation Triton, the EU's border rescue operation. Poseidon's mission is to save the lives of migrants trying to get to Europe.  

	Sweden’s participation in operation Triton comes as the Mediterranean migrant crisis reaches new heights. More than 5,000 people trying to reach Europe have been saved from boats in distress in the Mediterranean since Friday and operations are currently underway to rescue another 500, European Union authorities said on Sunday.

	In an interview with Swedish Radio, commander Peo Allard said that the Swedes on board Poseidon had never undertaken a mission quite like this one, but had been trained and mentally prepared at home.

	“They received information on why people are driven to flee,” he said.

	“The most difficult challenge will be meeting these overcrowded boats,” he added. “It’s a completely new kind of assignment for us, but something I have no doubt we can manage.”

	The Poseidon has been kitted out with special equipment in order to take on a large number of migrants. The ship has portable toilets and private rooms for women and children. Sails have been put up to create shade for protection from the Mediterranean heat.

	The Swedish government announced more than a month ago that it was prepared to send surveillance ships to the Mediterranean as the humanitarian crisis there continued to grow.

	Before the Poseidon set out on its mission from Gothenburg on May 21st, Home Affairs Minister Anders Ygeman spoke of what motivated the government to participate.

	“It is the suffering we are seeing in the Mediterranean where thousands of people risk their lives in flimsy vessels,” he said.

	“It was obvious to the government that Sweden should help.”

	Sweden sent planes and ships to the Mediterranean in 2009, 2010 and 2013 to help spot migrant boats and has contributed twice to the anti-pirate mission Atalanta off the coast of Somalia.

	Operation Triton is being run by Frontex, an EU agency that manages cooperation between national border protection agencies to cut down on illegal immigration and human trafficking.

	Sweden will participate in operation Triton until the end of August.
"
"
				20 August 2015
				18:15 CEST+02:00			 
					18:15 CEST+02:00				",Maddy Savage,Syrian comic: We don't prefer Sweden any more,"
A Syrian comedian who suggested asylum seekers should stop travelling to Sweden, has told The Local he's been threatened on social media and didn't mean to come across as so critical. But he explained he does have concerns about his adopted home. 

	Syrian YouTube star and asylum seeker Mahmoud Bitar spent three years trying to move to Sweden, bouncing between different countries in the Middle East after fleeing violence in his home city Aleppo, before travelling by boat to Greece and then heading north to Scandinavia.

	 

	He documented some of his journey on Instagram, where he has almost 60,000 followers, and went on to make YouTube videos in Arabic joking about life in Sweden once he finally arrived at his dream destination.

	 

	But the social media fan, who describes himself as a ""fun comedian"", was virtually unheard of among non-Arabic speakers until earlier this week, when the BBC posted a video in which the refugee is seen telling viewers in English ""don't come to Sweden - or at least think carefully about it"".

	 

	Bitar explains that many Syrians have unrealistic expectations about life in the Nordics, assuming they will get access to large homes and cars. He jokes that in reality life can be boring and immigrants are often forced to rely on government handouts and loans from friends.

	 

	His comments have since gone viral, with the video picked up by news networks in Sweden and shared widely on social media.

	 


Mahmoud Bitar. Photo: Private

	 

	""There has been a lot of reaction from people. We have had positive and negative comments,"" he told The Local on Thursday afternoon, adding that many of the messages he had received had been threatening.

	 

	""I love Sweden and there has been some misunderstanding,"" he explained.

	 

	""I said you should think carefully if you are going to live in Sweden because you must be hardworking. The BBC cut that last bit out.""

	 

	He added: ""There are some people, some people...maybe ten percent...who think if they come to Sweden everything will be easy and free and that is what I told them. That idea is not true. You have to work here. All the refugees must be hardworking,"" he added in Arabic, with his comments translated into English by his manager Dr Majd Abdulghani.

	 

	Asked if he had in fact revised his comments slightly for fear of further reprisals or being sent back to his home country, he said: ""Well there have been some bad comments and I am still afraid. That is why I want to send a message now to the Swedish government to get an ID or a permit. If I get one then I can work here. This is my choice, to be in Sweden now.""

	 


Mahmoud Bitar with his manager Dr Majd Abdulghani (right) who is also from Syria and says he does not take a fee from Bitar. Photo: Private

	 

	The Swedish Migration Board (Migrationsverket) does not comment on individual cases, but according to Bitar, he can expect to wait up to a year before he is given a personal number, which he needs before he can get a job in Sweden.

	 

	""I had an interview [with Migrationsverket] and then I was told I would have to wait another seven months so in total it will be a year. In the meantime I cannot get work or study,"" he told The Local, adding that he was currently living on 1800 kronor ($211) a month from the Swedish government, as well as hand-outs from friends.

	 

	There signs that some Syrian refugees are already starting to shun Sweden -- which has a global reputation for openness and tolerance -- as news spreads about long processing times for asylum applications. 

	 

	The Nordic nation currently takes in more refugees per capita than any other EU country, but a report by Sweden's Migration Board (Migrationsverket) last month suggested that the number of predicted asylum seekers in 2015 would be around 74,000, compared to the 90,000 it suggested in February.

	 

	""Yes, many Syrians have heard bad news about Sweden recently. They know it will take a long time [to secure a residency permit]. This is putting them off coming,"" confirmed Bitar.

	 

	""'We don't prefer Sweden any more', it is true that is what people have said,"" he added.

	 

	But Bitar insisted that he had no regrets about his decision to move to Borås, a small city in the south west of the country.

	 

	""I am free now. This country respects humans. I enjoy the nature and the water and gardens. There is good sightseeing here and it is very safe in Sweden,"" he said.
"
"
				19 December 2013
				16:44 CET+01:00			 
					16:44 CET+01:00				", The Local,Swedish plane to spot Mediterranean migrants,"
Sweden's defence minister has said saving lives is more important than her EU colleagues' fear of ""sending migrants the wrong signals"", and will send a surveillance plane to the Mediterranean. 
  ""For us, it is important to save lives, and that has to come first,"" Defence Minister Karin Enström told Sveriges Radio (SR) on Thursday.   While migrants faring ill at sea is not news, the death of some 300 people after they accidentally set fire to their capsizing ship brought the issue to light once again. The Swedish government's statement on Thursday specifically mentioned the incident as it announced the Swedish coast guard's upcoming mission.   It will not be the first time the Swedes aid an international mission at sea. The coast guard has taken part in Mediterranean operations in 2009 and in 2010, and have contributed twice to the anti-pirate mission Atalanta off Somalia. The Swedes have also done fishing industry checks and environmental assignments at sea.   ""This airplane has a very good capacity to, from a high altitude, survey expansive areas and discover very small boats at sea,"" Enström explained. ""In these cases, one imagines being able to see very small over-loaded boats, and not just see that there is a boat but get an idea of conditions on board.""   The plane will be offered to the European frontier agency Frontex, a Warsaw-based outfit of the union that has come under severe criticism since its inception seven years ago for lack of transparency.
  ""The worries regarding the need to keep this agency accountable are particularly marked due to the proximity of its field of action with human and protection rights related issues,"" PhD candidate Leila Giannetto at Trento University summarized last year.   Frontex in January put out a tender for ""optionally-piloted aircraft"", in essence saying it was ready to use drones to police the frontiers. The official aim was to ""identify more cost-efficient and operationally effective solutions for aerial border surveillance that could be used in Frontex joint operations"".   ""For two weeks during July the company and unknown subcontractors will provide an optionally-piloted aircraft and accompanying ground station as part of Frontex's ""Aerial Border Surveillance Trial 2013"","" the civil liberties watchdog StateWatch reported earlier this year.   The agency has now decided to increase its monitoring of the Mediterranean, providing Sweden the opportunity to offer assistance.   ""The coast guard can help people in danger at sea,"" Enström said. "
"
				4 November 2015
				08:29 CET+01:00			 
					08:29 CET+01:00				", The Local,Roma sleep on streets after Malmö eviction,"
UPDATED: Around 40 Roma migrants forced to leave a shanty camp for health and safety reasons spent the night outside Malmö city hall and said they planned to continue protesting against the decision. 

	The migrants were among around 200 people - mostly Roma people from Romania and Bulgaria - who had been staying at a controversial shanty town in an industrial area of Sweden’s third largest city.

	The camp was cleared on Tuesday amid concerns that it posed a health risk both to those staying there and neighbouring residents.

	Dozens of campaigners joined a group of the migrants in protesting late into the night outside Malmö city hall, with around 40 Roma people subsequently sleeping on mattresses and rugs outside the building.

	Police have told Swedish media that they are currently categorizing the migrants’ activities as a peaceful “demonstration” and are therefore taking no action. However this could change if the mood becomes violent or if the protesters set up shelters and tents in the area.

	“It has been a cold night outside city hall,” said Johanna Stenberg, a reporter for Swedish public broadcaster SVT, on Wednesday morning.

	“Most people tell me that they intend to stay as long as possible in protest (…) despair is great here.”

	The migrants are legally allowed to stay in Sweden as they are EU residents. Sweden’s Prime Minister Stefan Löfven joined the debate on Tuesday, arguing that the responsibility for ensuring that they had roofs over their heads remained with Romania and Bulgaria, where most of them are from.

	""They are of course welcome to come here and spend some time here, but in the long run their own countries have to ensure they get work, education and a place to live in their country,"" the Social Democrat leader told the TT news agency.

	Malmö Mayor Katrin Stjernfeldt Jammeh, also of the centre-left Social Democrats, echoed his comments.

	""Of course it's a tough situation for those who today don't really know where they will go. We can offer evacuation homes and support to help them return to Romania,"" she said.


The camp, which was bulldozed on Tuesday. Photo: Erland Vinberg/TT

	Stjernfeldt Jammeh told TT later on Tuesday that around 40 people from the closed camp had chosen to stay in emergency accommodation being provided by the local authority for five nights, while around 20 had decided to go back to their own country.

	“We’re doing individual assessments, but it is likely that those who want it [help to return home] will get it,” she said.

	Under Swedish law, locals and visitors alike usually have the right to walk or camp on almost any land, although this does not include public land that is adjacent to residential property or privately-owned gardens.

	The case of the camp in Malmö is unique because the person who owns the land tolerated the migrants for six months before launching a trespassing case with police.

	Sweden's national government recently announced it was set to appoint an investigator to review the country's regulatory framework for eviction.
"
"
				9 November 2015
				14:45 CET+01:00			 
					14:45 CET+01:00				",TT/AFP/The Local,Swedish refugee support drops as numbers rise,"
A new poll suggests growing numbers of Swedes want their country to take in fewer migrants, as the nation continues to welcome an unprecedented influx of asylum seekers. 

	The poll by Sifo, published in the Svenska Dagbladet newspaper, found 41 percent of respondents said Sweden should grant fewer residency permits to refugees -- compared to just 29 percent in September.

	Of the 1,000 people questioned between November 2nd and 5th, a quarter wanted the number to remain at current levels, while 17 percent wanted an increase and 16 percent were undecided.

	Sweden has taken more refugees per capita than any other country in Europe as the continent struggles with its worst migration crisis since World War Two, and is expecting up to 190,000 asylum seekers this year.

	""When we polled opinion in September, the developments and the debate were completely different. Today the prime minister (Stefan Löfven) is asking to redistribute (in the European Union) the refugees who have come here,"" said Toivo Sjören, head of polling at Sifo.

	An Ipsos poll published on Saturday in Sweden's Dagens Nyheter newspaper similarly indicated a shift in attitudes, suggesting 26 percent think the Scandinavian country should welcome more migrants, down from 44 percent in September.

	Men and right-wing voters tended to take more negative views of migrants, with 96 percent of the far-right Sweden Democrats' supporters saying fewer should be granted residency.

	Rising opposition to the newcomers can also be seen on social media.

	According to a study conducted by Svenska Dagbladet, 35 percent of the most shared posts on Facebook, Twitter and Instagram containing the Swedish word for ""refugees"" expressed a negative opinion about the issue in October, compared to 21 percent in September.



			SD bekräftar: Det var vi som delade ut flygbladen https://t.co/8gsxpPaf9o pic.twitter.com/yTRKPPH1EI
		— Aftonbladet (@Aftonbladet) November 9, 2015



A tweet by Swedish tabloid Aftonbladet showing the leaflets being handed out in Greece

READ ALSO: Weekly asylum claims top 10,000 in Sweden

	The Sifo poll was released as the nationalist Sweden Democrat party released further information about its latest campaign designed to discourage would-be asylum seekers from travelling to the Nordic nation.

	Joakim Wallerstein, head of communicatons for the anti-immigration group confirmed to the TT news agency on Monday that it was handing out flyers to refugees who had made their way to six countries including Greece, Turkey and Hungary. The leaflets have the headline ""no money, no jobs, no housing"". They claim that gang-related violence and rape have increased as a result of mass immigration and falsely state that it is forbidden to wear the burqa in Sweden.

	 

	""We want to attack the illusion that there is a life of luxury in Sweden,"" said Wallerstein.

	 

	The party is also planning a television commercial campaign in Syria and Afghanistan, which it says is costing ""millions"" of Swedish kronor.

	 

	Responding to the far-right group's tactics, Sweden's Migration Minister Morgan Johansson told reporters in Brussels on Monday that the Sweden Democrats were ""talking shit about Sweden"".

	 

	He said that the nationalists had painted a picture of the Nordic nation that was ""not true"" and argued that ""Sweden's global reputation is very strong"".

	 


Sweden's Migration Minister Morgan Johansson has accused the Sweden Democrats of ""talking shit"" about his country. Photo: Pontus Lindahl/TT
"
"
				27 May 2016
				10:50 CEST+02:00			 
					10:50 CEST+02:00				",Emma Löfgren,First migrants make it from Denmark to Sweden on foot,"
A group of five asylum seekers have for the first time successfully crossed the Öresund bridge on foot. But a police spokesperson has told The Local that the total figure may well be higher. 

	It was revealed on Friday that five migrants, who the News Öresund news agency reported were aged under 18, made it into the road tunnel section of the bridge from Copenhagen Airport's train station on May 12th. From there, they continued onwards on foot into Sweden.

	Police were notified after heat sensors in the tunnel alerted authorities, who stopped all train traffic. 

	""They were all young men and were handed over to the Migration Agency. We have had previous attempts on the Danish side, but they have all been caught by Danish police. This was the first time someone made the whole journey,"" police spokesperson Ewa-Gun Westford told The Local.

	The attempts follow Sweden's decision in January to demand photo identification from all travellers from Denmark as part of efforts to more closely monitor the flow of asylum seekers between the two countries.

News Öresund, which first broke the news about the most recent incident, reported on Friday that more than 55 attempts to make the journey on foot have been made since the start of the year. 

	But Westford did not rule out that the number could be higher, despite Swedish police being stationed at the border since last year, in a move separate to the photo identification checks at Copenhagen Airport.

	""There are gaps in the net, because the border control is peripheral, it's not one hundred percent. There are probably hidden statistics,"" said Westford.

READ ALSO: Sweden-bound migrants pulled out of Danish waters

	The Öresund crossing, made famous in Nordic Noir detective series The Bridge, allows drivers to travel at up to 90 kilometres an hour and includes a motorway tunnel as well as an open air road section. It is not open to pedestrians.

	""It is forbidden, but it is also dangerous, both for the pedestrians themselves and for other travellers. If there is an accident there on the bridge, it could have devastating consequences,"" said Westford.

	In April, when a lone walker was spotted walking on the motorway, Sanna Holmqvist, Head of Public Relations for the bridge, told The Local that police also had access to a network of some 400 cameras to help them detect pedestrians or any suspected criminal activities.

	The number of people seeking asylum in Sweden has dropped dramatically since the new ID and border controls were introduced, with an average of less than 500 a week showing up in the Nordic country, compared to almost 10,000 during the autumn.

	However they remain unpopular with many commuters in the region, especially train travellers who have seen their journey times increase by around 40 minutes as a result.
"
"
				1 February 2016
				12:11 CET+01:00			 
					12:11 CET+01:00				",TT/The Local,Swedes told to stop giving cash to beggars,"
Swedes should not offer cash or welfare services to Roma beggars asking for money in the streets, the lead investigator behind a key national inquiry has said. 

	Sweden's national coordinator for vulnerable EU citizens, Martin Valfridsson, presented the findings of a major government begging inquiry on Monday alongside equality minister Åsa Regnér.

	""I don't think [giving money to beggars] is what helps individuals out of deep poverty in the long run. I really believe that the money is more useful with organizations in the countries of origin,"" he said.

	Sweden has experienced a surge in EU migrants – mostly part of the Roma community from Romania and Bulgaria – begging on streets around the country in the past year.

	""We see that the number of vulnerable EU citizens have increased sharply. It's EU citizens who don't have the right to welfare in Sweden. In 2015 there were up to 5,000 vulnerable EU nationals in Sweden with a small dip after the summer. Of those around 70 are children,"" said Valfridsson.

	He also suggested that offering places in schools to children of EU migrants could lead to more vulnerable families bringing their children to Sweden while begging in the Nordic country.

	""I don't think we should generally offer schooling to these children,"" he said.


Martin Valfridsson and Åsa Regnér on Monday. Photo: Anders Wiklund/TT

	The debate about Roma beggars came to a head at the end of last year, after a controversial migrant shanty camp in Malmö was torn down by police.

	Valfridsson further discouraged municipalities from making campsites legally available to Roma travellers.

	""That creates new difficulties. Society helps reestablish those slum communities we have worked so frantically to get rid of. The message is that you're allowed to come here, but if you do you must live here legally. Society must have a strict approach to that you're not allowed to settle on someone else's land,"" he said.

	He also suggested that the government task Stockholm's county council with coordinating with other local authorities across Sweden to help spread information and assist officials in the work with vulnerable members of the EU migrant community.

	The government is next set to consider the findings of the inquiry, which did not propose a change in legislation.

	""Since we took office we have worked hard nationally and at EU level to limit and stop begging,"" Regnér told reporters at the press conference.
"
"
				10 October 2017
				15:11 CEST+02:00			 
					15:11 CEST+02:00				",Catherine Edwards,Afghan deportation flight takes off despite protest,"
A flight deporting refugees from Sweden to Afghanistan departed on Tuesday evening despite protests from human rights organizations and members of the public. 

	The chartered plane left Gothenburg’s Landvetter airport with ten Afghans, some of whom arrived in Sweden as unaccompanied minors, whose requests for asylum in Sweden were rejected, either because migration authorities ruled they were older than first stated or because they turned 18 while waiting for an answer on their asylum application.

	But seven of those who had been scheduled for deportation were allowed to stay in Sweden pending further hearings. It is not unusual for planned deportations to be cancelled at the last minute, and this often happens because new information has come to light regarding the people in question. 

	For example, they may have been accepted at an institute of higher education, or have told authorities of an additional factor which they may not have previously felt able to share. The Swedish Migration Board said that one of the people concerned had been granted a new trial at the work, while another case was overturned at the request of an international court.

	In total, three of the nine who who were deported had been ordered to leave the country due to crimes they had committed, according to Dagens Nyheter. The other six had had their asylum applications rejected. And one other person, whose asylum application had been rejected, was flown to Kabul but had to return to Sweden because Afghanistan refused to accept him. 

	More than 100 people had gathered outside the detention centre earlier in the day where the young people were being held by early afternoon on Tuesday to protest the deportations.

	""Despite extensive protests from individuals as well as large organizations such as the Swedish Church, the Red Cross, Save the Children and Amnesty International, the Swedish government continues its forced deportations of young people to Afghanistan – one of the world's most dangerous countries,"" Vian Delsoz, one of the organizers of the event, told The Local.

READ ALSO: 'How I fled from a Taliban training centre to Sweden'

	Many of those protesting have personal relationships with the young Afghans. One of them, Nellie Lenting, described the teenager she took into her home, Mohammad, as her ""Afghan son"", but said that once he turned 18, he was no longer allowed to live with her family.

	""We met him in February and although at the start it's a bit difficult to get a new family member, he soon started to open up and we see him as our son,"" Lenting told The Local.

	""We've filed for adoption but that process takes a very long time. He had a job here but now he can't work -- the detention centre is a bit like a jail.""

	Lenting said that both of Mohammad's biological parents were killed when he was young, he had worked in harsh conditions since the age of eight in his home country, and suffers from PTSD.

	""But that's only one tragic story, and there are many – no one deserves to be deported to a country like Afghanistan,"" she said. ""I'm not only here because of my very personal connection but because Afghanistan is one of the most dangerous countries in the world, with casualties every day. Some we hear about and some we don't.""



			Utanför förvaret i Kållered samlas folk för att visa sitt stöd och sin kärlek till de afghanerna som deporteras ikväll. #låtdeungastanna pic.twitter.com/Cb84Tk6HRr
		— Vi står inte ut (@vistarinteut) October 10, 2017



	Five refugees were able to stay behind at the detention centre on Tuesday, after authorities ruled their asylum application was to be looked at again before a deportation can go ahead. But around ten were on the bus taking them to Landvetter Airport, where the plane for Kabul took off at around 10.30pm.


Demonstrators outside the detention centre. Photo: Rebecca Hermansson

	Last Thursday, Amnesty International published a new report saying that the deportation of minors to Afghanistan went against international law and should be stopped immediately, due to the security situation in the country.

	The Swedish Migration Agency's official stance on Afghanistan is that safety varies between the country's different provinces and that ""it is still possible to return to several areas"".

	In May, Fredrik Beijer, head of the Migration Agency's legal department, said the agency was monitoring the situation in Afghanistan, but did not confirm any imminent policy changes.

	In a statement sent to The Local at the time, Beijer said: ""The situation in Afghanistan is serious and has deteriorated in the past year. The security situation however varies between and within different provinces. We note that there is an internal armed conflict in Kabul among other places, with repeated serious attacks. Many asylum seekers from Afghanistan may therefore stay in Sweden, but the situation is not such that everyone is entitled to protection. Each case is assessed on an individual basis.""

	In August, hundreds of young Afghans held a sit-down protest against the deportations in Stockholm, which lasted for several weeks. They were joined by hundreds of members of the public, and Swedish teachers have also protested the planned deportations.

READ ALSO: 24 hours on Stockholm's streets with refugee protesters

	Following the protests, Sweden's parliament debated how to respond, with the Social Democrats dismissing the demands, but the Green Party – the other party which makes up Sweden's coalition government – arguing that the refugees should be given a chance.

	One issue is that unaccompanied minors can only be deported if family members or other guardians can give them a home, however due to long processing times, several Afghans who arrived as minors have since turned 18, and are therefore treated as adults.
"
"
				1 December 2015
				07:22 CET+01:00			 
					07:22 CET+01:00				",TT/AFP/The Local,Refugees to be moved from Sweden by EU,"
Sweden will soon benefit from a ""relocation"" programme for some of its asylum seekers, the European Commissioner of Migration Dimitris Avramopoulos has said. 

	""Sweden is among the group of member states that has welcomed the highest number of refugees this year,"" Avramopoulos said at a press conference in Stockholm on Monday, adding that Sweden had made ""tremendous efforts"".

	In September, the EU unveiled a plan for redistributing nearly 160,000 migrants and refugees from frontline states Italy and Greece although so far only a small number have been relocated. These include 19 people from Eritrea who were sent to northern Sweden.

	But earlier this month Sweden asked Brussels to relocate to other EU countries some of the asylum seekers arriving by the thousands in the country, after revealing that it could no longer guarantee accommodation to all of those fleeing violence in their home nations.

	""Sweden has asked to become a beneficiary of the relocation mechanism,"" Avramopoulos said. ""We completely understand this.""

	The Commissioner added that in the future Sweden would be exempt from taking in migrants under the relocation programme.

	Sweden is home to 9.8 million people and has received 80,000 asylum applications in the past two months alone, which would be the equivalent of 25 million asylum seekers for the entire EU, Prime Minister Stefan Löfven said last week, after announcing that Sweden would drastically tighten its asylum rules.

	The country reinstated border controls last month and since then the number of new migrant arrivals has dropped by a third, according to Sweden's migration agency.
"
